ID,Band_Name,Country,Band_Status,Band_Formation,Band_Genre,Band_Theme,Band_Active_Status
29,5th Column,United States,Active,2003,Death Metal,War| Death| Battles| Rape,2003-present
30,6 Feet Under,Germany,Split-up,N/A,Death Metal,N/A,N/A
31,Abortus,Australia,Changed name,1998,Death Metal,Corruption| Barratry| Hate,1998-2004| 2004-present (as Herratik)
32,Abortus,United States,Split-up,1993,Death Metal,N/A,1993-?
33,Gutural,Peru,Active,2005,Death Metal,Ancestral Culture,2005-present
34,Letheria,Finland,Active,1998,Death Metal,Hate| Death| Self-destruction,1998-present
35,Leukemia,Sweden,Split-up,1989,Death Metal,Gore| Death| Emotions| Pain,1989-1994
36,Psychrist,Australia,Active,1992,Death Metal,Satanism| Anti-Christianity| Damnation| Disgust,1992-2003| 2013-present
37,Stratuz,Venezuela,Active,1985,Death Metal,N/A,1985-present
38,Zorndyke,Italy,Active,2007,Death Metal,Death| Torment| Perversion,2007-present
39,Achromasia,Slovakia,Split-up,1998,Brutal Technical Death Metal,Gore| Death,1998-?
40,Adlivun,Argentina,Active,2009,Melodic Death Metal,N/A,2009-present
41,Black Winter,Spain,Split-up,1998,Melodic Death Metal,N/A,1998-?
42,Blackened,France,Active,1998,Melodic Death Metal,N/A,1998-present
43,Achromasia,Sweden,Split-up,1990,Thrash/Death Metal,N/A,1990-?
44,Black Winter,Greece,Active,2000,Black/Death Metal,Philosophy,2000-present
45,Blackened,Bolivia,Active,2006,Death/Thrash Metal,N/A,2006-present
46,Blackened,Spain,Active,1992,Thrash/Death Metal,N/A,1992-1999| 2014-present
47,Aerosmith,,Active,1998,Rock,Anarchy,1998-present
48,Coldplay,,Active,2000,Alternative,Death| Gore| Undead,2000-present
49,Eagles,,Changed name,1993,Rock,N/A,1993-2002
50,The Beatles,,Unknown,1978,Alternative,N/A,1978-2005
51,U2,,Unknown,1992,Rock,Humanity| Life Experience,1992-?
52,Pink Floyd,,Active,1982,Psychedelic,Death| Zombies| Religion| Horror,1982-2009
53,Porcupine Tree,,Changed name,1999,Rock,Death| Life| Nature| Technology| Human Madness,1999-present
54,Gojira,,Active,2000,Death Metal,N/A,2000-present
55,Megadeth,,Split-up,1999,Death Metal,Death| Destruction,1999-present
56,Led Zeppelin,,Changed name,1967,Rock,N/A,1967-1998
57,Pearl Jam,,Split-up,1970,Rock,Esoteric,1970-1995
58,Benediction,United Kingdom,Active,1989,Death Metal,Rebellion| Corruption| Religion,1989-present
59,Benefection,Malaysia,Active,2001,Death Metal,Hatred| Murder| Lust,2001-?
60,Benevolence,United States,Split-up,1997,Death Metal,Christianity,1994-1996 (as Necrosis)| 1996-1997 (as Exhumation)| 1997-2012
61,Benighted,Sweden,Split-up,1993,Death Metal,Death| Sacrifice| Anti-Human,1990-1991 (as Toxic Breath)| 1991-1993 (as Sickness)| 1993-1997
62,Bentara,Malaysia,Active,2010,Death Metal,Death| Folklore| Science Fiction,2010-present
63,Bereaved,Germany,Split-up,N/A,Death Metal,N/A,N/A
64,Bereaved,Ireland,Split-up,1989,Death Metal,N/A,1989-?
65,Bereavement,Austria,Active,1993,Death Metal,N/A,1993-1996| 2002-present
66,Bereavement,France,Split-up,2004,Death Metal,N/A,2004-?
67,Bereavement,France,Split-up,1997,Death Metal,N/A,1997-?
68,Berial,Poland,Split-up,1995,Death Metal,N/A,1995-?
69,Berith,Brazil,Split-up,1995,Death Metal,Christianity| Sin and Repentence,1993-1995 (as Devilcrusher)| 1995-2000| 2005-2007
70,Berserk,Austria,Split-up,1997,Death Metal,N/A,1997-?
71,Berserk,Brazil,Active,2010,Death Metal,N/A,2010-present
72,Berserk,Sweden,Split-up,1993,Death Metal,N/A,1993-?
73,Berserk Revolt,Ukraine,Active,2003,Death Metal,Paganism,2003-present
74,Besessen,Germany,On hold,1998,Death Metal,Sickness| Psychosis| Alienation,1998-?
75,Besieged,United States,Split-up,1994,Death Metal,N/A,1994-2004| ? (as AbsolumN)
76,Bestial,France,Unknown,N/A,Death Metal,N/A,N/A
77,Bestial Carnage,Italy,Split-up,2006,Death Metal,Splatter,2006-?
78,Bestial Deform,Russia,Active,1990,Death Metal,Anti-Christianity| Evil| Darkness,1990-1997| 1999-present
79,Bestial Haze,Russia,Unknown,2004,Death Metal,N/A,2004-?
80,Bestial Lust,Mexico,Split-up,1989,Death Metal,Evil| Darkness,1989-?
81,Bestial Methods,Ukraine,Split-up,N/A,Death Metal,N/A,N/A
82,Bestial Rape,Ecuador,Active,2008,Death Metal,Blasphemy| Death| Alcohol| Anti-Christian,2008-2011| 2008-present
83,Bestial Therapy,Czech Republic,Active,2008,Death Metal,Pessimism| Depression| Suicide| Soil| Perversion,2008-present
84,Bestial Vomit,Italy,Split-up,N/A,Death Metal,N/A,N/A
85,Bestialit,Slovakia,Changed name,1994,Death Metal,N/A,1994-1995| 1995-present (as Lunatic Gods)
86,Bestiality,Germany,Active,2012,Death Metal,Death| Sickness| Sadism,2012-present
87,Bestiar,Poland,Active,1990,Death Metal,N/A,1990-present
88,Betray the Kidnapper,Colombia,Active,2010,Death Metal,N/A,2010-present
89,Betrayal,Germany,Active,2005,Death Metal,Self reflection,2005-present
90,Betrayed Blood,Germany,On hold,N/A,Death Metal,White Pride,N/A
91,Betrayed Legion,Canada,Split-up,N/A,Death Metal,N/A,N/A
92,Beyond,Germany,Active,2010,Dance,Death| Morbidity| Occultism,2008-2010 (as Shapeless)| 2010-present
93,Beyond,Sweden,Changed name,1988,Alternative,Gore| Death,1988-1990| 1991-1994 (as Interment)| 2002-present (as Interment)
94,Beyond Death,Bolivia,Active,2003,Alternative,Armageddon| Chaos,2003-present
95,Beyond Decimation,United States,Split-up,N/A,Alternative,N/A,N/A
96,Beyond Fear,United Kingdom,Split-up,1993,Alternative,N/A,1993-1996
97,Beyond Grace,United Kingdom,Active,2014,Alternative,Inhumanity| Philosophy| Transhumanism,2005-2011 (as Threnody)| 2011-2014 (as Bloodguard)| 2014-present
98,Beyond Hell,United States,Unknown,2009,Alternative,Horror,2009-?
99,Beyond Insanity,Norway,Split-up,2004,Rock,N/A,2004-?
100,Beyond Mortal Dreams,Australia,Active,1995,Alternative,N/A,1992-1995 (as Suffering)| 1995-1999| 2003-present
101,Beyond Redemption,Italy,Split-up,1992,Alternative,Horror| Philosophy,1992-?
102,Beyond the Desert,Poland,Split-up,2005,Alternative,Death| Hate| Anti-Christian| Heresy| Destruction,2005-2008
103,Beyond the Flesh,Sweden,Split-up,1999,Alternative,N/A,? (as Shadows Beyond Fatality)| ? (as Carnage)| 1999-2001
104,Beyond the Wall of Sleep,United States,Unknown,N/A,Alternative,N/A,N/A
105,Calm Hatchery,Poland,Active,2002,Alternative,War| Death,2002-present
106,Calvaria,Poland,Split-up,1994,Alternative,Anti-Christianity| Hatred,1992-1994 (as Golgotha)| 1994-2002| 2005
107,Calvario,Argentina,Split-up,1994,Pop,Death| Religion,1994-?
108,Calvario,Colombia,Active,2003,Alternative,Dark ideological concepts| Misanthropia| Anti-christianism,2003-present
109,Calvary Death,Brazil,Split-up,1991,Alternative,Death| Vengeance| Religious,1987-1991 (as Túmulo de Ferro)| 1991-2012
110,Cammo Shorts,United States,Active,2010,Alternative,Drugs| Violence| Sex| Anger| Politics| Arson,2010-present
111,Can Abyss,Netherlands,Active,1994,Alternative,Hallucinations,1994-present
112,Cancer Whore,United States,Active,2004,Alternative,Zombies| Death| Murder,2004-2007| 2008-present
113,Cancerbero,Chile,Active,1987,Alternative,Feelings| Hate| Death| Torture,1987-1994| 2001-present
114,Cancerbero,Cuba,Active,2006,Alternative,N/A,2006-present
115,Cancerfaust,Poland,Active,2013,Alternative,Death| War| Murder| Hatred,2013-present
116,Cancerous Factor,United States,Split-up,1991,Alternative,N/A,1987-1991 (as Destroyed Youth)| 1991-?
117,Canchroid,Portugal,Active,2008,Alternative,Anti-Religion| Nihilism| Gore| Death,2008-present
118,Cancro,Brazil,Active,1992,Alternative,N/A,1992-1995| 2014-present
119,Cangrena,United States,Split-up,N/A,Alternative,N/A,N/A
120,Canilive,Brazil,Active,2006,Rock,Mankind manipulation,2006-present
121,Cannabis Corpse,United States,Active,2006,Alternative,Cannabis| Parodies of metal clichés,2006-present
122,Cannabyss,United States,Split-up,1990,Alternative,Gore| Torment| Misery,1990-?
123,Cannibal Autopsy,Argentina,Split-up,1994,Alternative,Gore| Necrophilia| Post-mortem,1994-1996
124,Cannibal Corpse,United States,Active,1988,Alternative,Gore| Death| Torture| Cannibalism| Zombies,1988-present
125,Cannibal Gluttony,Australia,Split-up,2006,Alternative,Gore| Rape| Murder (early)| Religion| Personal| Abstract| Humanity (later),2006-?
126,Cannibal Rites,United States,Active,2007,Alternative,Horror| Gore| Death| Cannibalism,2004-2005 (as To the Gory End)| 2007-present
127,Cantar,France,Split-up,N/A,Alternative,N/A,?-1995
128,Cantath,Greece,Split-up,N/A,Alternative,N/A,N/A
129,Caos,Colombia,Split-up,1993,Alternative,Sicknesses,1993-?
130,Cape Torment,Portugal,Active,2011,Alternative,N/A,2011-present
131,Capillaries,Israel,Active,2005,Alternative,War| death| religion,2005-present
132,Captain Trips,United States,Split-up,1995,Rock,N/A,1995-?
133,Captivus Diaboli,Italy,Split-up,1996,Rock,N/A,1996-?
134,Carbon Cage,Hungary,Split-up,1995,Alternative,N/A,1995-1997
135,Carbonized,Brazil,Split-up,1998,Alternative,N/A,1998-?
136,Carcaroht,Sweden,Changed name,1993,Alternative,N/A,1993 (as Dominus)| 1993-1994| 1994-2005 (as Thy Primordial)
137,Carcase Inc.,Finland,Split-up,2002,Alternative,Misanthropy| Death| Hate,2002-2005
138,Carcava,Peru,Active,2003,Rock,Invocations| Aiapaec| Moche Culture,2003-present
139,Carceri,Netherlands,Active,2001,Rock,Death| religion| sickness,1994-? (as Heavy Mozart)| ?-2001 (as Detonate)| 2001-present
140,Carcharoth,Sweden,Split-up,N/A,Rock,N/A,N/A
141,Carcinogen,Canada,Split-up,1993,Rock,N/A,1993-?
142,Carcinogen,Colombia,Unknown,N/A,Rock,N/A,N/A
143,Dark Half,Mexico,Split-up,1990,Rock,Death,1990-?
144,Dark Horizon,Brazil,Active,2000,Alternative,N/A,2000-present
145,Dark Horror,Malaysia,Unknown,N/A,Rock,N/A,N/A
146,Dark Insurrection,Chile,Active,2001,Rock,N/A,2001-present
147,Dark Intentions,Denmark,Unknown,N/A,Rock,N/A,N/A
148,Dark Legion,Poland,Split-up,1998,Rock,Death| Hatred| Misanthropy,1998-?
149,Dark Lore,United States,Changed name,1993,Rock,N/A,1993-1997| 1997-1998 (as Seagrave)| 1998-present (as Vital Fluid)
150,Dark Master,Chile,Split-up,N/A,Rock,Satanic| Violence,N/A
151,Dark Nymbus,United States,Split-up,2002,Rock,Anti-Religion,2002-2007
152,Dark Oasis,United States,Split-up,1993,Rock,N/A,1993-?
153,Dark Opera,Finland,Split-up,N/A,Dance,N/A,N/A
154,Dark Paradise,Russia,Split-up,N/A,Rock,N/A,N/A
155,Dark Pariah,United Kingdom,Split-up,2005,Alternative,Death| Hate| Torture| Destruction| War| Gore,2005-?
156,Dark Reign,Italy,Split-up,1995,Pop,N/A,1995-?
157,Dark Reign,Netherlands,Active,2002,Alternative,N/A,2002-present
158,Dark Remains,Netherlands,Active,1998,Dance,N/A,1998-present
159,Dark Ritual,Greece,Active,1994,Rock,N/A,1994-present
160,Dark Ritual,Japan,Split-up,N/A,Rock,Death| Evil,N/A
161,Dark Secret,Italy,Active,1999,Rock,Christianity,1999-present
162,Dark Sensation,Belgium,Active,2002,Rock,N/A,2002-2006| 2007-present
163,Dark Side,Netherlands,Split-up,N/A,Rock,N/A,N/A
164,Dark Souls,United States,Split-up,N/A,Rock,N/A,N/A
165,Dark Supremacy,Canada,Split-up,N/A,Rock,N/A,N/A
166,Dark Views,Germany,Split-up,1990,Dance,N/A,1990-?
167,Dark's Eve,Brazil,Active,N/A,Alternative,Christianity,N/A
168,DarkAge,Germany,Split-up,N/A,Alternative,Darkness,? (as Orcrist)| ? (as Carvedgate)| ?-?
169,Darkcide,Sweden,Unknown,N/A,Alternative,N/A,N/A
170,Darkdeity,United States,Active,2008,Alternative,Necromancy| Darkness| Death,2008-present
171,Darken Solis,Brazil,Split-up,2002,Soundtrack,History| Philosophy| Mythology,2002-2006
172,Darkened Fate,United States,Unknown,N/A,Alternative,N/A,N/A
173,Darkenium,Australia,Active,2012,Alternative,Despair,2012-present
174,Darkhole,Mexico,Active,N/A,Alternative,N/A,N/A
175,Darkness,Chile,Active,1988,Alternative,Death,1988-?| 2010-present
176,Darkness,Mexico,Split-up,1987,Alternative,N/A,1987-?
177,Darkness,Poland,Split-up,1986,Alternative,N/A,1986-?
178,Darkoffigus,United States,Split-up,1991,Alternative,N/A,1991-?
179,Darkrypt,India,Active,2013,Alternative,N/A,2013-present
180,Darkseid,France,Split-up,N/A,Alternative,N/A,N/A
181,Darksied,United Kingdom,Split-up,1990,Alternative,N/A,1990-?
182,Darkstone,Sweden,Active,1999,Alternative,Middle age battles and fantasy landscapes of war,1999-present
183,Darling Demoniac,United States,Split-up,1998,Alternative,N/A,1998-?
184,Darrva,Latvia,Active,2013,Rock,Dark side of Latvia's nature,2013-present
185,Das Über Evils,Sweden,Split-up,2001,Alternative,N/A,2001-?
186,Datura,United States,Split-up,N/A,Dance,N/A,N/A
187,Daughter of Lust,United States,Split-up,1999,Alternative,Murder| Misanthropy| Genocide,1999-?
188,Dauthuz,Netherlands,Active,N/A,Alternative,N/A,N/A
189,Dawn,Germany,Split-up,2001,Pop,N/A,2001-?
190,Dawn,Germany,Split-up,1990,Rock,Darkness| Death| Apocalypse,1990-1999
191,Dawn Blood,France,Split-up,2002,Rock,N/A,2002-2006
192,Dawn of Anger,Germany,Active,2006,Pop,Occult| Ancient history| Nihilism| Apocalypse,2006-present
193,Dawn of Azazel,New Zealand,On hold,1999,Alternative,Anti-Religion| Satanism| Hedonistic Themes,1999-2010| 2013-present
194,Dawn of Blood,Germany,Active,2004,Alternative,N/A,2004-present
195,Dawn of Chaos,United Kingdom,Changed name,2000,Concert Films,Death| Gore| Cannibalism| Political,2000-2013| 2013-present (as Vacivus)
196,Dawn of Decay,Sweden,Split-up,N/A,Soundtrack,Hell| Death| Ignorance| Ghosts,1989-? (as Purgatory)| ?-2000
197,Dawn of Decline,France,Active,2004,Alternative,N/A,2004-present
198,Dawn of Demise,Denmark,Active,2003,Alternative,Murder| Hate,2003-present
199,Dawn of Destruction,Germany,Split-up,2001,Dance,Social and Political Conflicts| Death,2001-?
200,Dawn of Disease,Germany,Active,2003,Alternative,N/A,2003-2007| 2009-present
201,Dawn of Kardath,Germany,Active,2006,Alternative,N/A,2006-present
202,Dawn of Misery,Colombia,Unknown,2003,Alternative,Death| Rebellion,2003-?
203,Dawn of Misery,Hungary,Split-up,N/A,Rock,N/A,N/A
204,Dawn of Obliteration,Germany,Active,N/A,Pop,N/A,N/A
205,Dawn of Retaliation,Norway,Active,2005,Pop,Anti-religion,2005-present
206,Dawn of Zombies,Sweden,Active,2008,Rock,Zombies| Horror movies,2008-present
207,Dawndeath Incinerator,United States,Split-up,N/A,Dance,Technology| Abstract themes,N/A
208,Day of Decay,Germany,Active,2003,Pop,N/A,2003-present
209,Day of Doom,United States,Active,2000,Rock,Instrumental (early)| Death,2000-present
210,Day of Execution,Bulgaria,Active,2009,Alternative,Death| War| Gore| Violence,2005-2009 (as Reichsradio)| 2009-present
211,Day of the Tentacle,Germany,Split-up,2007,Alternative,N/A,1997-2007 (as Abyss Lord)| 2007-2010
212,Dayzolate,Germany,Split-up,N/A,Pop,N/A,N/A
213,Dazed,France,Split-up,N/A,Dance,N/A,N/A
214,DCLXVI,Sweden,Split-up,2002,Alternative,God| Satan| Life & Death,2002-?
215,DDT,Poland,Split-up,1990,Pop,Death,1990-?
216,De Mortuis,United Kingdom,Active,2010,Dance,N/A,2010-present
217,De' Mask Thyself,United Kingdom,Active,N/A,Pop,N/A,N/A
218,Deabhar,Poland,On hold,2006,Alternative,N/A,2006-?
219,Deacidified,Greece,Active,2014,Alternative,N/A,2014-present
220,Dead,United States,Active,1985,Rock,Death| Gore| Evil,1985-present
221,Dead,United States,Split-up,N/A,Rock,N/A,N/A
222,Dead Awaken,Sweden,Active,2002,Alternative,War,2002-present
223,Dead Baby,United States,Split-up,1993,Alternative,Horror| Anti-Christianity,1993-?
224,Entrospect,Chile,Active,2011,Music Documentaries,N/A,2011-present
225,Enuresis,Denmark,Split-up,1993,Christmas,N/A,1993-?
226,Envenomed,Sweden,On hold,2007,Alternative,Darkness,2007-?
227,Envig,Sweden,Active,2015,Soundtrack,N/A,2015-present
228,Enviled,Sweden,Split-up,2000,Pop,N/A,2000-?
229,Envy the Dead,United States,Split-up,N/A,Hip-Hop/Rap,N/A,N/A
230,Enygma,Germany,Active,2008,Alternative,N/A,2008-present
231,Eodon,Norway,Active,2013,Alternative,N/A,2013 (as Frostrøyk)| 2013-2015| 2015-present
232,Eon,Sweden,Unknown,N/A,Pop,N/A,N/A
233,Ephemeral,Spain,Active,2006,Alternative,N/A,2006-present
234,Ephemeral Promise,Morocco,Split-up,2007,Pop,Philosophy| War| Politics| Society| Blasphemy,2007-2010
235,Epidemia,Ecuador,Active,2003,Alternative,Terror| Corpses| Massacres,2003-2010| 2012-present
236,Epidemic,Israel,Active,2001,Alternative,Hate| Betrayel| History,2001-present
237,Epidemic Fear,Brazil,Unknown,N/A,Alternative,N/A,N/A
238,Epidemic Scorn,Germany,Active,2004,Alternative,Death| Gore| Social criticism,2004-present
239,Epilepsy,France,Split-up,2004,Pop,N/A,2004-?
240,Epilepsy,Poland,Split-up,1991,Alternative,Death| Desperation| Agony of Life| Friendship,1991-?
241,Epistemy,Slovakia,Active,2012,Alternative,War| Darkness,2012-present
242,Epitaph,Sweden,Active,1990,Pop,Anti-Religion| Deception| Death,1989-1990 (as Dark Abbey)| 1990-1993| 2015-present
243,Epitaph,Switzerland,Changed name,1994,Dance,N/A,1994-2003| 2003-present (as As Sanity Fades)
244,Epitaph,United Kingdom,Split-up,N/A,Dance,Hate| Death,N/A
245,Epitasis,United States,Active,N/A,Alternative,N/A,N/A
246,Epitome,United Kingdom,Split-up,N/A,Soundtrack,N/A,N/A
247,Epoch of Hate,Brazil,Active,2000,Pop,Anti-Christianity| Sadism| Occultism| Wars,2000 (as Aborticide)| 2000-present
248,Epoch of Sin,Greece,Split-up,N/A,Alternative,N/A,N/A
249,Epocholypse,Canada,Split-up,2005,Alternative,N/A,2005-2008
250,Epod,United States,Active,2007,Adult Alternative,Gore| Drugs| Porn,2007-present
251,Epydemyc,Brazil,Active,2003,Alternative,Putrefaction| Insane Feelings,2003-present
252,Epytaphe,France,Active,2009,Pop,N/A,2009-present
253,Eradicate,Germany,Split-up,2002,Adult Alternative,Gore| Violence,2002-?
254,Eradication,Hungary,Active,2008,Alternative,N/A,2003-2008 (as Stigma)| 2008-present
255,Eradication Process,Sweden,Split-up,2005,Alternative,N/A,2005-?
256,Erase,Spain,Split-up,N/A,Pop,N/A,?-2014
257,Erased,United States,Changed name,2012,Alternative,N/A,2012-2013| 2013-present (as Vanquisher)
258,Eraserhead,Germany,Active,2008,Alternative,Human needs| Serial killers| Atrocities| History| Society,2008-present
259,Erazer,France,Active,2007,Alternative,N/A,2007-present
260,Erebos,Austria,Active,2002,Pop,N/A,2002-present
261,Erebus,Australia,Split-up,1994,Pop,N/A,1994-?
262,Erebus,Netherlands,Active,2004,Pop,Life,2004-present
263,Erectus,Greece,Active,1999,Adult Alternative,N/A,1999-present
264,Erektor,Czech Republic,Active,1992,Pop,Death| Sexual deviancy| Sarcasm,1992-present
265,Erfiq,United States,Active,2006,Alternative,N/A,?-2006 (as Death Is Certain)| 2006-present
266,Ergastulum,Belgium,Split-up,N/A,Alternative,N/A,N/A
267,Eric Pellegrini,United States,Active,2011,Alternative,Life| Social Situations| Seduction| Power,2011-present
268,Eroded,Germany,Active,2004,Rock,N/A,2004-present
269,Eroded,Italy,Active,2003,Alternative,N/A,2003-present
270,Eroded,Spain,Split-up,1992,Pop,N/A,1992-?
271,Eroding the Past,United States,Active,2012,Pop,N/A,2012-present
272,Erosive Exhumation,Brazil,Split-up,1993,Dance,Gore| Splatter themes,1993-1994 (as Exhumation)| 1994-1996
273,Erotic Funeral,Brazil,Active,2003,Alternative,N/A,2003-present
274,ErrorGod,Denmark,Active,2007,Alternative,N/A,1995-2007 (as Evil Pigs)| 2007-present
275,Eructation,Sweden,Split-up,N/A,Alternative,N/A,1988-? (as Neon Death)| ? (as Anathema)| ?-?
276,Erupted,Sweden,Active,2011,Alternative,Philosophical| occult,2010-2011 (as Carnivore)| 2011-present
277,Eruption,Finland,Split-up,1996,Alternative,Death| Gore| Sickness,1996-2003
278,Erydan,Poland,Split-up,1998,Alternative,N/A,1998-?
279,Erzebeth Dane,Switzerland,Active,2012,Alternative,Angst| Occult entities| Dementia| Abysses| The cosmos,2012-present
280,Escape the Flesh,Czech Republic,Split-up,2010,Alternative,N/A,2010-2013
281,Escarlate,Brazil,Active,2002,Alternative,Christianity,2002-present
282,Escarnium,Brazil,Active,2008,Alternative,Misanthropy| Decadence| Nihilism,2008-present
283,Escatofagia,Bolivia,Split-up,1993,Alternative,Society| Corruption| Drugs,1993-?
284,Eschaton,Belarus,Active,2011,Alternative,N/A,2009-2011 (as Patria)| 2011-present
285,Esker,Netherlands,Active,2004,Alternative,N/A,2004-present
286,Eskhaton,Australia,Active,2010,Alternative,Nihilism| Chaos| Death| Satan,2010-present
287,Funeral Mask,United States,Split-up,1999,Alternative,N/A,1999-?
288,Funeral Rites,United States,Changed name,1993,Alternative,Hatred towards Society| Satan| Evil,1993-2014| 2014-present (as Saturnatas)
289,Funeral Spring,Italy,Split-up,N/A,Alternative,N/A,N/A
290,Funeral Stench,Russia,Split-up,2002,Alternative,Death| Murder,2002-?
291,Funeral Vault,Switzerland,Split-up,1992,Alternative,N/A,1992-?
292,Funeral Whore,Netherlands,Active,2006,Alternative,Darkness| Death| Violence,2006-present
293,Funeratus,Brazil,Active,1993,Alternative,Satanism| Anti-Christianity| Death| Hatred,1993-present
294,Funereality,Sweden,Active,2009,Alternative,Sex| Gore| Horror,2009-present
295,Funerealm,United States,On hold,2006,Alternative,Politics| Corruption| Drugs| Death| Violence,2006-?
296,Funerus,United States,Active,1990,Dance,Death| Doom| Damnation,1990-1998| 2002-present
297,Funest,Italy,Active,2012,Alternative,Death| Blasphemy| Gore,2012-present
298,Fungus Inc.,Belgium,Split-up,2004,Rock,Sex| Gore| Alcohol| Humor,2004-2014
299,Funérailles,France,Split-up,1997,Alternative,N/A,1997-?
300,Furcas,Argentina,Active,1998,Alternative,Philosophy| Religion,1998-2001| 2013-present
301,Furnace Born,United States,Active,2012,Alternative,N/A,2012-present
302,Furry Paper,Indonesia,Unknown,2013,Alternative,N/A,2013-?
303,Fyrad,Italy,Split-up,1996,Alternative,N/A,1996-?
304,G.L.S.,United States,Split-up,1989,Alternative,N/A,1989-?
305,Gaffed,United States,Split-up,1994,Alternative,Murder| Disease,?-1994 (as Ritual Torment)| 1994-?
306,Galaxy Crusher,United States,Active,2012,Alternative,Astrology| Metaphysics,2005-2012 (as Arbitrator)| 2012-present
307,Galgotha,Australia,Split-up,1992,Alternative,N/A,1992-1994
308,Gallery of Death,Indonesia,Active,1997,Alternative,N/A,1997-present
309,Gallina Negra,Hungary,Split-up,1992,Alternative,N/A,1992-?
310,Gallow,Belgium,Split-up,N/A,Alternative,Death| Anti-Christian,N/A
311,Gallows Foul,Russia,Split-up,N/A,Alternative,N/A,N/A
312,Gammoth,Brazil,Active,2001,Alternative,Death| Blood| Violence| Horror| Dark Literature,2001-present
313,Gang Raping Nuns,United States,On hold,N/A,Alternative,N/A,N/A
314,Gangrena,Chile,Active,2005,Alternative,N/A,2005-present
315,Gangrena,Portugal,Split-up,1992,Alternative,Socio-political Issues,1992-?
316,Gaped,Australia,Active,2010,Alternative,N/A,2010-present
317,Garcharot,Finland,Active,1990,Alternative,Cannibalism| Gore| Mutilation| Perversions| Terror,1990-present
318,Gargantuan,United Kingdom,Active,2008,Alternative,Violence| Genocide| Mutilation| Torture| Antitheism,2008-present
319,Gargantuar,Indonesia,Active,2010,Alternative,Hypocrisy| Struggle,2010-present
320,Gargaryss,Belgium,Split-up,2003,Alternative,Gore,2003-?
321,Gargullas,Brazil,Split-up,1989,Rock,N/A,1989-1998
322,Garoted,United States,Active,2008,Alternative,Misanthropy| Death| Creatures| Darkness,2008-present
323,Garotting Deep,Canada,Active,2010,Shows,Sacrifice| Esotericism| Runes| Literature| Bogs,2010-present
324,Garrote,Lithuania,Split-up,1994,Alternative,Gore| Death,1994-1996
325,Gastric Pus,Canada,Split-up,N/A,Alternative,N/A,N/A
326,Gastric Ulcer,Germany,Split-up,1993,Alternative,N/A,1993-?
327,Gatecreeper,United States,Active,2013,Alternative,Substance abuse| Apathy| Death,2013-present
328,Gatekeeper,United States,Split-up,2001,Dance,Darkness| Misanthropy| Evil,2001-2006| 2010
329,Gates of Hell,United States,Active,2008,Shows,N/A,2008-present
330,Gates of Rage,Canada,Split-up,1995,Trilha sonora,N/A,1995-2001
331,Gates of Sodom,United States,Unknown,2002,Rock,N/A,2002-?
